Open,High,Low,Volume,Close
0.101049,0.101641,0.101049,364988765.1,0.101049
0.101049,0.10495,0.101049,268250794.8,0.103754
0.103754,0.104356,0.102529,116684963.9,0.102529
0.102529,0.102846,0.100447,223767767.2,0.100447
0.100447,0.100447,0.0944014,477907153.9,0.0944014
0.0944014,0.0944014,0.0928905,377827003.5,0.0928905
0.0928905,0.0935026,0.0901645,292998923.9,0.0935026
0.0950138,0.0977102,0.0950138,181300733.5,0.0950138
0.0974239,0.0974239,0.0974239,154854941.6,0.0974239
0.0974239,0.0974239,0.092594,229258509.8,0.092594
0.092594,0.0928905,0.0832408,869155969.6,0.0832408
0.0832408,0.0832408,0.0778086,560772262.5,0.0808408
0.083547,0.0841395,0.083547,338675585.4,0.083547
0.0865692,0.0874778,0.0865692,259842263,0.0865692
0.0865692,0.0865692,0.0817395,297375673.6,0.0817395
0.0817395,0.0823322,0.0817395,286102346,0.0817395
0.0817395,0.0868754,0.0811469,214828727.1,0.0850383
0.0859568,0.0868754,0.0859568,147746172.3,0.0859568
0.0859568,0.0868754,0.0826285,203024973.1,0.0826285
0.083547,0.0850383,0.083547,479551726,0.083547
0.0850383,0.0865692,0.0850383,192388363.4,0.0850383
0.0850383,0.0865692,0.083547,95172970.34,0.083547
0.083547,0.083547,0.0811469,130212881.4,0.0811469
0.084732,0.084732,0.084732,143793915.7,0.084732
0.084732,0.0853445,0.0823322,131857522.3,0.0823322
0.0823322,0.083547,0.0823322,153475626.2,0.0823322
0.0823322,0.083547,0.0823322,103236610.5,0.0832408
0.0832408,0.0850383,0.0811469,135067076.1,0.0811469
0.0811469,0.0817395,0.0790135,269311798.3,0.0790135
0.0790135,0.0793099,0.0790135,287349024.9,0.0790135
0.0790135,0.0793099,0.0775025,191672148.2,0.078411
0.078411,0.0790135,0.0735913,235332860.4,0.0735913
0.0735913,0.0742036,0.0735913,312495102.9,0.0735913
0.0790135,0.0799223,0.0790135,268701764.4,0.0790135
0.0805346,0.0826285,0.0805346,173687985.9,0.0805346
0.0805346,0.0805346,0.0778086,85889049.71,0.078411
0.0805346,0.0811469,0.0805346,70849187.53,0.0805346
0.0811469,0.0817395,0.0811469,80106593.23,0.0811469
0.0850383,0.0859568,0.0850383,145942449.8,0.0850383
0.0859568,0.0865692,0.0859568,239709525,0.0859568
0.0859568,0.0859568,0.0841395,113714160,0.084732
0.084732,0.084732,0.0811469,121486063,0.0811469
0.0832408,0.083547,0.0832408,140080310.8,0.0832408
0.0832408,0.084732,0.0826285,93475317.76,0.0826285
0.0826285,0.0832408,0.0826285,103767134.1,0.0826285
0.0826285,0.0850383,0.0823322,141751450.5,0.0823322
0.0823322,0.0826285,0.0793099,73660888.68,0.0793099
0.0799223,0.0805346,0.0799223,112175655.7,0.0799223
0.0799223,0.0805346,0.078411,67904873.22,0.078411
0.0775025,0.0775025,0.0723665,390506081.5,0.0723665
0.0723665,0.0756951,0.0723665,187242371.7,0.0754184
0.0754184,0.076011,0.0742036,66472511.76,0.0742036
0.0754184,0.0754184,0.0754184,127427791.3,0.0754184
0.0748061,0.0748061,0.0748061,170982366.8,0.0748061
0.0754184,0.0756951,0.0754184,150478299.3,0.0754184
0.0754184,0.077216,0.0754184,161141458.3,0.076011
0.076011,0.0766036,0.0754184,103289702.2,0.0754184
0.0754184,0.0756951,0.0742036,144165211.9,0.0742036
0.0754184,0.0766036,0.0754184,154457047.5,0.0754184
0.0805346,0.0826285,0.0805346,272998837.6,0.0805346
0.0805346,0.0832408,0.0799223,250876714,0.0817395
0.0817395,0.083547,0.0805346,233502600.7,0.0805346
0.0799223,0.0799223,0.0778086,180637572.5,0.0778086
0.0778086,0.078411,0.0775025,142759378.6,0.0775025
0.077216,0.077216,0.0742036,283211075.7,0.0742036
0.0742036,0.0742036,0.0681591,698040940,0.0681591
0.0672506,0.0672506,0.0633391,605069584.3,0.0633391
0.0642379,0.0648502,0.0642379,291964433.3,0.0642379
0.0660456,0.0672506,0.0660456,372919835.6,0.0660456
0.0660456,0.0678629,0.0654331,437455950,0.0654331
0.0639417,0.0639417,0.0603169,682099232.8,0.0603169
0.0648502,0.0654331,0.0648502,475944257.8,0.0648502
0.0648502,0.0666382,0.0633391,339153103.3,0.0633391
0.0639417,0.0639417,0.0639417,321142352.1,0.0639417
0.0639417,0.0639417,0.0615318,562761697.9,0.0615318
0.0615318,0.0621442,0.060633,374352206.2,0.060633
0.060633,0.0621442,0.060633,356102701.1,0.060633
0.060633,0.0609195,0.0594183,293662066.7,0.0594183
0.0594183,0.0597045,0.0557933,449418931.3,0.0557933
0.0557933,0.0594183,0.0554972,669844504.2,0.0554972
0.0557933,0.056396,0.0557933,279868906.7,0.0557933
0.0573045,0.0581936,0.0573045,314060040,0.0573045
0.0588157,0.0597045,0.0588157,203661557.4,0.0588157
0.0594183,0.0594183,0.0594183,225942910.4,0.0594183
0.060633,0.0621442,0.060633,196738477.7,0.060633
0.0648502,0.065759,0.0648502,243661781.6,0.0648502
0.065759,0.0672506,0.065759,348039031.6,0.065759
0.0681591,0.0681591,0.0681591,156552593.2,0.0681591
0.0690677,0.0696703,0.0690677,227905744.8,0.0690677
0.0690677,0.0696703,0.0678629,160743603.7,0.0678629
0.0681591,0.068475,0.0681591,122494038.6,0.0681591
0.0681591,0.068475,0.0648502,92042986.67,0.0648502
0.065759,0.065759,0.065759,81114532.43,0.065759
0.0660456,0.0666382,0.0660456,43315873.2,0.0660456
0.0660456,0.0666382,0.0660456,109204838.6,0.0660456
0.0660456,0.0666382,0.0660456,175146838,0.0660456
0.0678629,0.0678629,0.0678629,125570974.2,0.0678629
0.0678629,0.0681591,0.0678629,76843929.57,0.0678629
0.0678629,0.0678629,0.0672506,55703206.88,0.0672506
0.0672506,0.068475,0.0666382,91989857.57,0.0666382
0.0666382,0.0672506,0.065759,169762174.4,0.065759
0.0660456,0.0672506,0.0660456,139947681.5,0.0660456
0.0660456,0.0660456,0.0648502,212043595.5,0.0648502
0.0654331,0.0654331,0.0654331,136075059.8,0.0654331
0.0654331,0.0654331,0.0633391,227720075.4,0.0633391
0.0633391,0.0642379,0.0621442,199762359.1,0.0621442
0.0621442,0.0630429,0.0609195,199788875,0.0609195
0.0624207,0.0630429,0.0624207,373105477.7,0.0624207
0.0624207,0.0630429,0.0624207,154563190.2,0.0624207
0.0624207,0.0624207,0.0603169,92069447.95,0.0603169
0.0609195,0.0615318,0.0609195,105942188.2,0.0609195
0.0609195,0.0615318,0.0597045,95332106.54,0.0597045
0.0597045,0.060633,0.0597045,61061370.7,0.0597045
0.0597045,0.0597045,0.0594183,115358737.1,0.0594183
0.0594183,0.0597045,0.0578972,109337446.7,0.0578972
0.0578972,0.0594183,0.0573045,74695360.04,0.0573045
0.0573045,0.0603169,0.0557933,179682682.4,0.0557933
0.0569983,0.0573045,0.0569983,174987680.6,0.0569983
0.0573045,0.0573045,0.0573045,72175504.43,0.0573045
0.0573045,0.0573045,0.056396,65119692.07,0.056396
0.0573045,0.0581936,0.0573045,50186007.09,0.0573045
0.0573045,0.0573045,0.0548948,343291031.3,0.0548948
0.0548948,0.0554972,0.0542922,124563017.8,0.0542922
0.0548948,0.0557933,0.0548948,99178257.78,0.0548948
0.056396,0.0573045,0.056396,56684661.52,0.056396
0.0573045,0.0573045,0.0573045,79284256.56,0.0573045
0.0573045,0.0573045,0.0573045,91194150.25,0.0573045
0.0573045,0.0573045,0.0557933,146022052.4,0.0557933
0.0557933,0.056396,0.0554972,52122296.13,0.0554972
0.0569983,0.0569983,0.0569983,42228318.31,0.0569983
0.0573045,0.0573045,0.0573045,50822551.88,0.0573045
0.0573045,0.0578972,0.0573045,48488332.23,0.0573045
0.0573045,0.0573045,0.0557933,66445914.81,0.0557933
0.056396,0.056396,0.056396,50769508.84,0.056396
0.056396,0.056396,0.0554972,44350385.05,0.0554972
0.0557933,0.0569983,0.0557933,56313335.96,0.0557933
0.0557933,0.056396,0.0557933,38859654.64,0.0557933
0.056396,0.056396,0.056396,109894458.9,0.056396
0.0573045,0.0578972,0.0573045,156685194.2,0.0573045
0.0578972,0.0588157,0.0578972,144191789.6,0.0578972
0.0581936,0.0588157,0.0581936,103130512.3,0.0581936
0.060633,0.060633,0.060633,131645252.9,0.060633
0.060633,0.060633,0.0594183,83528281.71,0.0594183
0.0594183,0.0594183,0.0573045,43793385.07,0.0573045
0.0573045,0.0573045,0.0573045,217587391.3,0.0573045
0.0609195,0.0609195,0.0609195,142202388.7,0.0609195
0.0639417,0.0639417,0.0639417,220637816.9,0.0639417
0.0639417,0.0642379,0.0630429,160133450.3,0.0630429
0.0633391,0.0642379,0.0633391,140425180.2,0.0633391
0.0633391,0.0648502,0.0621442,104324173.5,0.0621442
0.0621442,0.0621442,0.0597045,123740761.1,0.0597045
0.0597045,0.0603169,0.0597045,63342566.56,0.0597045
0.0597045,0.0603169,0.0597045,8169804.229,0.0597045
0.0597045,0.0603169,0.0594183,43395426.11,0.0594183
0.0594183,0.0597045,0.0594183,104615948.2,0.0594183
0.0594183,0.0597045,0.0588157,25464305.82,0.0588157
0.0588157,0.0588157,0.0581936,57931352.61,0.0581936
0.0581936,0.0581936,0.056396,82334665.04,0.056396
0.056396,0.0573045,0.056396,108859983.5,0.056396
0.0569983,0.0569983,0.0569983,102997906.2,0.0569983
0.0569983,0.0573045,0.056396,98064212.26,0.056396
0.0597045,0.0603169,0.0597045,309948625,0.0597045
0.0603169,0.0609195,0.0603169,140080310.8,0.0603169
0.0624207,0.0624207,0.0624207,183767546,0.0624207
0.0639417,0.0642379,0.0639417,348012520.7,0.0639417
0.0678629,0.0681591,0.0678629,341566867.8,0.0678629
0.068475,0.0717641,0.068475,412309921.7,0.068475
0.068475,0.0690677,0.0666382,272866208.3,0.0666382
0.0666382,0.0666382,0.0648502,140770051.5,0.0648502
0.0678629,0.068475,0.0678629,502734798.5,0.0678629
0.0678629,0.0696703,0.0678629,175703854.2,0.0678629
0.0690677,0.0708752,0.0690677,322839939.9,0.0690677
0.0690677,0.0690677,0.0678629,74934100.78,0.0678629
0.0678629,0.0681591,0.0678629,70424782.49,0.0678629
0.0678629,0.0678629,0.0672506,154987572,0.0672506
0.0714777,0.0714777,0.0714777,268303834.8,0.0714777
0.0714777,0.0723665,0.0699764,183634950.1,0.0699764
0.0699764,0.0714777,0.0699764,109602723.7,0.0699764
0.0702827,0.0717641,0.0702827,184404165.8,0.0702827
0.0702827,0.0717641,0.0699764,127348183.7,0.0699764
0.0723665,0.0729788,0.0723665,237375304.4,0.0723665
0.0735913,0.0748061,0.0735913,375545836,0.0735913
0.077216,0.0778086,0.077216,348277811.8,0.077216
0.077216,0.0778086,0.0754184,211698767.7,0.0754184
0.0754184,0.076011,0.0748061,205624505.1,0.0748061
0.0748061,0.0748061,0.0729788,120265914.2,0.0729788
0.0754184,0.0756951,0.0754184,165199805,0.0754184
0.0754184,0.076011,0.0748061,96605319.66,0.0748061
0.0748061,0.0754184,0.0748061,76446016.17,0.0748061
0.0748061,0.0754184,0.0723665,111698223.9,0.0723665
0.0723665,0.0729788,0.0714777,117321624.1,0.0714777
0.0714777,0.0723665,0.0714777,121910459.9,0.0714777
0.0714777,0.0723665,0.0708752,152467671.8,0.0714777
0.0714777,0.0723665,0.0714777,115093442,0.0717641
0.0717641,0.0732951,0.0714777,194749036.2,0.0729788
0.0729788,0.0756951,0.0723665,227030436.9,0.0754184
0.0754184,0.0756951,0.0748061,117268544.7,0.0756951
0.0756951,0.076011,0.0754184,118647864.1,0.076011
0.076011,0.0766036,0.0754184,183634950.1,0.0756951
0.0756951,0.0775025,0.0756951,195518317.7,0.077216
0.077216,0.0778086,0.0754184,148197057.8,0.0756951
0.0756951,0.0756951,0.0735913,77507080.42,0.0742036
0.0742036,0.0754184,0.0723665,165624286,0.0729788
0.0729788,0.0735913,0.0723665,237905820.8,0.0732951
0.0732951,0.0756951,0.0732951,281380822.1,0.0742036
0.0748061,0.076011,0.0748061,148329712.5,0.0754184
0.0754184,0.076011,0.0742036,297402170.3,0.0754184
0.0754184,0.0799223,0.0754184,342123912.3,0.078411
0.078411,0.0790135,0.0766036,129151875.8,0.0775025
0.0805346,0.0859568,0.0805346,662894828.5,0.083547
0.083547,0.0853445,0.0832408,319869094.5,0.084732
0.084732,0.0853445,0.083547,243980092.5,0.0841395
0.0841395,0.084732,0.0811469,169603047.4,0.0823322
0.0823322,0.0826285,0.0811469,76499095.66,0.0817395
0.0817395,0.0826285,0.0811469,54297393.76,0.0817395
0.0817395,0.0850383,0.0817395,145518028.6,0.0841395
0.0841395,0.0850383,0.0832408,127507333.1,0.083547
0.083547,0.0841395,0.0826285,103316184.7,0.0826285
0.0826285,0.083547,0.0817395,139045808.1,0.083547
0.083547,0.0841395,0.0832408,286765527.2,0.0841395
0.0841395,0.0841395,0.0823322,219125856,0.083547
0.083547,0.0865692,0.0832408,557191408.5,0.0865692
0.0865692,0.0883866,0.0853445,719499961.4,0.0859568
0.0859568,0.0865692,0.0823322,529604985.3,0.0850383
0.0850383,0.0868754,0.0850383,181459912.2,0.0853445
0.0853445,0.0868754,0.084732,255094252.5,0.0865692
0.0865692,0.0892754,0.084732,322919484.7,0.0874778
0.0874778,0.0901645,0.0868754,501461611.7,0.0898681
0.0898681,0.0928905,0.0898681,633266046.4,0.0922879
0.0922879,0.0928905,0.0898681,408994278.7,0.0901645
0.0901645,0.0901645,0.0880805,150876144.8,0.0898681
0.0898681,0.0904804,0.0892754,179947973.5,0.0901645
0.0901645,0.0904804,0.0841395,169337804.8,0.0880805
0.0880805,0.0883866,0.0853445,185226489.3,0.0865692
0.0865692,0.0880805,0.0850383,132600216.9,0.0850383
0.0850383,0.0853445,0.0826285,461328762.2,0.0832408
